id,host_id,host_since,host_response_rate,host_is_superhost,host_listings_count,host_total_listings_count,area,region,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,amenities,price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,first_review,last_review,scores_rating,scores_accuracy,scores_cleanliness,scores_checkin,scores_communication,scores_location,scores_value,instant_bookable,cancellation_policy,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,total_price
423875,367042,13,100.0,0,9,9,Tampines,East Region,1.34838,103.9592,House,Private room,3,1.0,1.0,2.0,Real Bed,"TV,Wifi,Air conditioning,Kitchen,Free street parking,Hot tub,Family/kid friendly,Washer,Dryer,Smoke detector,Essentials,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,Laptop friendly workspace,Self check-in,Keypad,Children’s books and toys,Pack ’n Play/travel crib,Hot water,Microwave,Coffee maker,Refrigerator,Cooking basics,Oven,Stove,Garden or backyard,Luggage dropoff allowed,Long term stays allowed,No stairs or steps to enter,Wide entrance,Extra space around bed,No stairs or steps to enter,Wide doorway to guest bathroom,Paid parking on premises",103.0,138.0,28.0,1,21.0,1,1125,1,1,1125,1125,1.0,1125.0,1,18,48,78,353,15,1,22,612,87.0,9.0,9.0,9.0,9.0,9.0,9.0,0,moderate,9,0,9,0,0.19,145.0
553229,1030128,41,100.0,1,3,3,Jurong West,West Region,1.34135,103.71139,Condominium,Private room,1,1.0,1.0,1.0,Real Bed,"TV,Cable TV,Wifi,Air conditioning,Pool,Kitchen,Free parking on premises,Smoking allowed,Doorman,Gym,Elevator,Family/kid friendly,Washer,Safety card,Essentials,Lock on bedroom door,Microwave,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,BBQ grill,Luggage dropoff allowed,Long term stays allowed,Cleaning before checkout,No stairs or steps to enter,Wide entrance for guests,Well-lit path to entrance,No stairs or steps to enter,Wide entrance,Extra space around bed,Accessible-height bed,Host greets you",52.0,276.0,25.0,1,14.0,2,730,2,2,730,730,2.0,730.0,1,30,60,90,365,15,10,19,952,96.0,10.0,9.0,10.0,10.0,9.0,9.0,0,strict_14_with_grace_period,3,0,3,0,0.19,52.0
604966,2996022,122,0.0,0,1,1,Bukit Timah,Central Region,1.33171,103.79383,Apartment,Entire home/apt,2,2.0,2.0,1.0,Real Bed,"TV,Cable TV,Internet,Wifi,Air conditioning,Pool,Kitchen,Free parking on premises,Smoking allowed,Doorman,Gym,Heating,Family/kid friendly,Washer,Dryer,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace,Self check-in,Building staff",274.0,1379.0,62.0,1,0.0,4,90,4,4,90,90,4.0,90.0,1,27,57,87,362,11,0,16,499,91.0,9.0,8.0,10.0,10.0,9.0,9.0,0,strict_14_with_grace_period,1,1,0,0,0.13,274.0
625055,344367,12,33.0,0,2,2,Tanglin,Central Region,1.3173,103.83395,Apartment,Private room,1,0.5,1.0,1.0,Real Bed,"TV,Internet,Wifi,Air conditioning,Pool,Kitchen,Free parking on premises,Smoking allowed,Gym,Pets live on this property,Elevator,Family/kid friendly,Washer,Dryer,Essentials,Shampoo,Self check-in,Building staff",46.0,257.0,39.0,1,0.0,1,1125,1,1,1125,1125,1.0,1125.0,1,29,59,89,364,30,1,15,670,82.0,8.0,9.0,9.0,8.0,9.0,8.0,0,flexible,1,0,1,0,0.36,46.0
648183,1324097,57,100.0,0,0,0,Bukit Merah,Central Region,1.28358,103.83361,Apartment,Private room,1,1.0,1.0,1.0,Real Bed,"TV,Internet,Wifi,Air conditioning,Kitchen,Smoking allowed,Breakfast,Pets live on this property,Cat(s),Washer,Dryer,First aid kit,Essentials,Shampoo,Lock on bedroom door,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50,Bed linens,Extra pillows and blankets,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,EV charger,Patio or balcony,Luggage dropoff allowed,Long term stays allowed,Wide hallways,Wide entrance for guests,Well-lit path to entrance,Accessible-height bed,Firm mattress",74.0,0.0,0.0,1,0.0,3,90,3,3,90,90,3.0,90.0,1,0,23,53,54,55,0,17,456,98.0,10.0,10.0,10.0,10.0,10.0,10.0,0,flexible,1,0,1,0,0.67,74.0
719944,3648224,143,,0,1,1,Queenstown,Central Region,1.30901,103.79639,Apartment,Shared room,1,1.0,1.0,1.0,Real Bed,,207.0,276.0,28.0,1,0.0,1,1125,1,1,1125,1125,1.0,1125.0,1,0,0,0,0,0,0,-1,-1,,,,,,,,0,flexible,1,0,0,1,,207.0
746929,3919513,154,100.0,0,1,1,Bedok,East Region,1.30792,103.92287,Condominium,Entire home/apt,4,2.0,2.0,2.0,Real Bed,"TV,Wifi,Air conditioning,Wheelchair accessible,Pool,Kitchen,Free parking on premises,Elevator,Family/kid friendly,Washer,Dryer,Essentials,Hangers,Hair dryer,Iron,Laptop friendly workspace,High chair,Crib,Hot water,Bed linens,Ethernet connection,Microwave,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,Single level home,Long term stays allowed,Wide hallways,No stairs or steps to enter,Wide entrance for guests,Flat path to guest entrance,Well-lit path to entrance,No stairs or steps to enter,Wide entrance,No stairs or steps to enter,Wide doorway to guest bathroom,Accessible-height toilet,Wide clearance to shower, toilet,No stairs or steps to enter,Wide entryway,Host greets you,Waterfront,Beachfront,Extra space around shower and toilet",165.0,138.0,69.0,4,69.0,3,365,3,3,365,365,3.0,365.0,1,8,21,22,22,92,17,30,948,94.0,10.0,10.0,10.0,10.0,10.0,10.0,0,moderate,1,1,0,0,1.24,165.0
756267,1584407,70,100.0,1,5,5,Marine Parade,Central Region,1.30377,103.89956,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,"TV,Internet,Wifi,Air conditioning,Kitchen,Washer,Smoke detector,Carbon monoxide detector,Essentials,Shampoo,Lock on bedroom door,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50,Hot water,Luggage dropoff allowed,Long term stays allowed",165.0,500.0,39.0,1,0.0,2,1125,2,2,1125,1125,2.0,1125.0,1,24,52,82,208,66,7,23,925,94.0,9.0,10.0,10.0,10.0,9.0,9.0,0,moderate,5,3,2,0,0.84,165.0
756300,3981231,158,,0,1,1,Serangoon,North-East Region,1.35001,103.87161,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,"TV,Cable TV,Wifi,Air conditioning,Kitchen,Paid parking off premises,Elevator,Washer,Dryer,Essentials,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,Window guards,Room-darkening shades,Hot water,Bed linens,Extra pillows and blankets,Microwave,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,Single level home,Luggage dropoff allowed,Long term stays allowed,Disabled parking spot,No stairs or steps to enter,Other,Extra space around shower and toilet,Paid parking on premises",44.0,257.0,35.0,1,15.0,1,30,1,1,30,30,1.0,30.0,1,0,0,0,0,36,0,21,516,94.0,9.0,9.0,10.0,10.0,9.0,9.0,0,flexible,1,0,1,0,0.45,59.0
756347,3981177,158,,0,1,1,Pasir Ris,East Region,1.37527,103.94562,Apartment,Private room,1,0.5,1.0,1.0,Real Bed,"Kitchen,Breakfast,Elevator,Family/kid friendly",205.0,257.0,39.0,1,0.0,1,1,1,1,1,1,1.0,1.0,1,0,0,0,0,0,0,-1,-1,,,,,,,,0,flexible,1,0,1,0,,205.0
