listing_id,date
241503,2016-06-05
241503,2016-06-09
241503,2016-06-12
241503,2016-07-03
241503,2016-07-09
241503,2016-07-12
241503,2016-08-01
241503,2016-08-11
241503,2016-08-29
241503,2016-09-03
241503,2016-10-13
241503,2016-10-22
241503,2016-11-16
241503,2016-11-24
241503,2016-12-23
241503,2016-12-30
241503,2017-01-01
241503,2017-01-07
241503,2017-01-14
241503,2017-01-21
241503,2017-02-01
241503,2017-02-07
241503,2017-02-12
241503,2017-02-15
241503,2017-02-20
241503,2017-02-25
241503,2017-03-01
241503,2017-03-12
241503,2017-03-26
241503,2017-04-01
241503,2017-04-03
241503,2017-04-07
241503,2017-04-16
241503,2017-04-23
241503,2017-04-30
241503,2017-12-24
241508,2011-11-02
241508,2011-12-08
241508,2012-01-08
241508,2012-01-17
241508,2012-02-05
241508,2012-02-10
241508,2012-03-04
241508,2012-03-22
241508,2012-04-21
241508,2012-05-01
241508,2012-06-14
241508,2012-07-15
241508,2012-07-23
241508,2012-07-29
241508,2012-08-02
241508,2012-08-05
241508,2012-08-21
241508,2012-09-09
241508,2012-10-02
241508,2012-10-17
241508,2012-10-24
241508,2012-12-02
241508,2012-12-10
241508,2012-12-25
241508,2013-01-11
241508,2013-01-15
241508,2013-01-16
241508,2013-01-28
241508,2013-02-22
241508,2013-03-09
241508,2013-03-16
241508,2013-03-27
241508,2013-04-06
241508,2013-04-13
241508,2013-04-16
241508,2013-04-28
241508,2013-05-01
241508,2013-05-12
241508,2013-05-16
241508,2013-05-28
241508,2013-06-05
241508,2013-06-12
241508,2013-06-14
241508,2013-07-02
241508,2013-07-14
241508,2013-07-23
241508,2013-07-28
241508,2013-08-03
241508,2013-08-09
241508,2013-08-12
241508,2013-08-21
241508,2013-08-30
241508,2013-09-01
241508,2013-09-04
241508,2013-09-11
241508,2013-09-15
241508,2013-09-17
241508,2013-09-24
241508,2013-10-09
241508,2013-10-20
241508,2013-10-25
241508,2013-10-28
241508,2013-11-01
241508,2013-11-18
241508,2013-11-30
241508,2013-12-03
241508,2013-12-05
241508,2013-12-11
241508,2013-12-15
241508,2013-12-21
241508,2014-01-12
241508,2014-01-20
241508,2014-01-25
241508,2014-01-31
241508,2014-02-04
241508,2014-02-11
241508,2014-02-13
241508,2014-02-21
241508,2014-03-04
241508,2014-03-13
241508,2014-03-19
241508,2014-03-20
241508,2014-04-01
241508,2014-04-06
241508,2014-04-15
241508,2014-04-20
241508,2014-04-25
241508,2014-04-27
241508,2014-05-04
241508,2014-05-06
241508,2014-06-08
241508,2014-06-26
241508,2014-07-08
241508,2014-07-14
241508,2014-07-24
241508,2014-08-02
241508,2014-08-05
241508,2014-08-13
241508,2014-08-15
241508,2014-08-19
241508,2014-08-25
241508,2014-08-30
241508,2014-09-04
241508,2014-09-16
241508,2014-10-01
241508,2014-10-04
241508,2014-10-07
241508,2014-10-12
241508,2014-10-22
241508,2014-10-29
241508,2014-11-03
241508,2014-11-05
241508,2014-11-10
241508,2014-11-16
241508,2014-12-15
241508,2015-01-01
241508,2015-01-03
241508,2015-01-05
241508,2015-01-12
241508,2015-01-24
241508,2015-01-27
241508,2015-01-29
241508,2015-02-01
241508,2015-02-09
241508,2015-02-14
241508,2015-02-22
241508,2015-03-01
241508,2015-03-17
241508,2015-04-08
241508,2015-04-15
241508,2015-04-19
241508,2015-04-28
241508,2015-05-04
241508,2015-05-26
241508,2015-06-24
241508,2015-06-30
241508,2015-07-10
241508,2015-07-14
241508,2015-07-20
241508,2015-07-23
241508,2015-07-26
241508,2015-08-02
241508,2015-08-07
241508,2015-08-11
241508,2015-09-08
241508,2015-09-23
241508,2015-10-03
241508,2015-10-25
241508,2015-11-22
241508,2015-11-29
241508,2016-01-05
241508,2016-01-18
241508,2016-02-04
241508,2016-02-10
241508,2016-02-14
241508,2016-03-08
241508,2016-03-29
241508,2016-04-25
241508,2016-05-01
241508,2016-05-03
241508,2016-05-04
241508,2016-05-10
241508,2016-05-22
241508,2016-06-07
241508,2016-06-12
241508,2016-06-27
241508,2016-07-09
241508,2016-07-13
241508,2016-07-18
241508,2016-07-31
241508,2016-08-08
241508,2016-08-27
241508,2016-10-07
241508,2016-11-12
241508,2016-11-26
241508,2017-01-01
241508,2017-01-04
241508,2017-01-08
241508,2017-01-11
241508,2017-01-20
241508,2017-01-28
241508,2017-02-05
241508,2017-02-12
241508,2017-02-20
241508,2017-02-25
241508,2017-03-13
241508,2017-04-01
241508,2017-04-04
241508,2017-04-09
241508,2017-04-15
241508,2017-04-20
241508,2017-04-23
241508,2017-04-30
241508,2017-10-31
241508,2018-05-20
241508,2018-12-15
241508,2019-03-06
241508,2019-04-28
241510,2012-01-04
241510,2012-01-06
241510,2012-02-10
241510,2012-02-27
241510,2012-03-09
241510,2012-03-19
241510,2012-04-02
241510,2012-04-13
241510,2012-04-30
241510,2012-05-02
241510,2012-05-03
241510,2012-06-22
241510,2012-07-13
241510,2012-07-22
241510,2012-07-25
241510,2012-07-29
241510,2012-08-03
241510,2012-08-21
241510,2012-08-25
241510,2012-09-01
241510,2012-09-05
241510,2012-09-10
241510,2012-10-02
241510,2012-10-23
241510,2012-10-26
241510,2012-11-02
241510,2012-11-04
241510,2012-11-07
241510,2012-11-10
241510,2012-11-15
241510,2012-11-19
241510,2012-12-01
241510,2012-12-06
241510,2013-01-04
241510,2013-01-09
241510,2013-01-16
241510,2013-01-28
241510,2013-02-18
241510,2013-03-04
241510,2013-03-08
241510,2013-03-14
241510,2013-03-19
241510,2013-04-08
241510,2013-04-11
241510,2013-04-13
241510,2013-04-21
241510,2013-05-02
241510,2013-05-11
241510,2013-05-19
241510,2013-05-21
241510,2013-06-12
241510,2013-07-03
241510,2013-07-12
241510,2013-07-14
241510,2013-07-23
241510,2013-07-26
241510,2013-07-28
241510,2013-08-01
241510,2013-08-04
241510,2013-08-28
241510,2013-08-29
241510,2013-09-11
241510,2013-09-17
241510,2013-09-20
241510,2013-09-26
241510,2013-10-03
241510,2013-10-24
241510,2013-10-29
241510,2013-11-01
241510,2013-11-12
241510,2013-11-17
241510,2013-11-22
241510,2013-11-29
241510,2013-12-07
241510,2013-12-18
241510,2013-12-23
241510,2014-01-10
241510,2014-01-14
241510,2014-01-19
241510,2014-01-22
241510,2014-01-24
241510,2014-01-27
241510,2014-02-09
241510,2014-02-16
241510,2014-02-24
241510,2014-03-02
241510,2014-03-04
241510,2014-03-10
241510,2014-03-15
241510,2014-03-26
241510,2014-04-01
241510,2014-04-08
241510,2014-04-12
241510,2014-05-09
241510,2014-05-26
241510,2014-06-09
241510,2014-07-04
241510,2014-07-10
241510,2014-07-14
241510,2014-07-22
241510,2014-08-03
241510,2014-08-21
241510,2014-09-20
241510,2014-09-25
241510,2014-09-28
241510,2014-10-08
241510,2014-10-19
241510,2014-10-27
241510,2014-10-29
241510,2014-11-01
241510,2014-11-06
241510,2014-11-10
241510,2014-12-08
241510,2014-12-30
241510,2015-01-03
241510,2015-01-05
241510,2015-01-20
241510,2015-01-24
241510,2015-01-27
241510,2015-01-29
241510,2015-01-31
241510,2015-02-10
241510,2015-02-15
241510,2015-02-28
241510,2015-03-08
241510,2015-03-17
241510,2015-03-31
241510,2015-04-25
241510,2015-05-02
241510,2015-05-07
241510,2015-05-16
241510,2015-06-05
241510,2015-06-14
241510,2015-06-16
241510,2015-06-18
241510,2015-06-23
241510,2015-06-26
241510,2015-06-29
241510,2015-07-13
241510,2015-07-19
241510,2015-07-23
241510,2015-07-26
241510,2015-07-28
241510,2015-08-05
241510,2015-08-13
241510,2015-08-26
241510,2015-09-03
241510,2015-09-05
241510,2015-09-22
241510,2015-09-24
241510,2015-09-26
241510,2015-09-30
241510,2015-10-05
241510,2015-10-07
241510,2015-10-29
241510,2015-11-04
241510,2015-12-05
241510,2015-12-11
241510,2016-01-20
241510,2016-01-22
241510,2016-01-26
241510,2016-02-06
241510,2016-02-10
241510,2016-02-13
241510,2016-03-04
241510,2016-03-15
241510,2016-03-27
241510,2016-04-01
241510,2016-04-05
241510,2016-04-06
241510,2016-04-11
241510,2016-04-16
241510,2016-04-21
241510,2016-04-23
241510,2016-04-29
241510,2016-05-01
241510,2016-05-07
241510,2016-06-07
241510,2016-06-11
241510,2016-06-20
241510,2016-07-05
241510,2016-08-02
241510,2016-08-05
241510,2016-08-10
241510,2016-08-24
241510,2016-09-08
241510,2016-10-03
241510,2016-10-05
241510,2016-10-09
241510,2016-10-15
241510,2016-10-20
241510,2016-10-24
241510,2016-10-28
241510,2016-11-12
241510,2016-11-16
241510,2016-11-24
241510,2016-12-14
241510,2016-12-17
241510,2016-12-23
241510,2016-12-29
241510,2017-01-02
241510,2017-01-04
241510,2017-01-10
241510,2017-01-17
241510,2017-01-20
241510,2017-01-25
241510,2017-02-02
241510,2017-02-04
241510,2017-02-08
241510,2017-02-13
241510,2017-02-15
241510,2017-02-18
241510,2017-02-23
241510,2017-02-25
241510,2017-02-28
241510,2017-03-06
241510,2017-03-10
241510,2017-03-14
241510,2017-03-18
241510,2017-04-02
241510,2017-04-05
241510,2017-04-09
241510,2017-04-11
241510,2017-04-14
241510,2017-04-19
241510,2017-04-21
241510,2017-05-01
241510,2017-05-06
241510,2017-05-11
241510,2017-05-17
241510,2017-12-09
241510,2018-08-05
241510,2019-01-06
241510,2019-04-23
275343,2013-04-20
275343,2013-07-08
275343,2013-07-23
275343,2013-11-19
275343,2015-02-20
275343,2015-03-21
275343,2015-06-14
275343,2015-07-26
275343,2015-10-17
275343,2016-05-24
275343,2016-07-31
275343,2016-12-05
275343,2017-09-09
275343,2018-03-06
275343,2018-04-08
275343,2019-01-02
275343,2019-02-17
275343,2019-04-21
275344,2012-04-26
275344,2013-03-08
275344,2013-08-28
275344,2013-08-30
275344,2013-09-29
275344,2014-01-26
275344,2014-12-05
275344,2015-01-06
275344,2015-07-13
275344,2018-09-13
289234,2012-07-05
289234,2013-08-11
289234,2014-07-19
289234,2014-09-20
289234,2015-01-17
289234,2015-08-01
289234,2016-01-01
289234,2016-04-26
289234,2018-04-29
289234,2018-06-18
289234,2018-12-28
289234,2019-01-01
294281,2012-01-28
294281,2012-03-04
294281,2012-03-09
294281,2012-04-09
294281,2012-04-20
294281,2012-04-23
294281,2012-04-26
294281,2012-05-10
294281,2012-05-19
294281,2012-05-23
294281,2012-05-25
294281,2012-06-14
294281,2012-06-18
294281,2012-06-30
294281,2012-07-03
294281,2012-07-13
294281,2012-07-18
294281,2012-07-26
294281,2012-07-30
294281,2012-08-05
294281,2012-08-18
294281,2012-10-05
294281,2012-11-11
294281,2013-01-29
294281,2013-02-15
294281,2013-02-17
294281,2013-03-05
294281,2013-03-13
294281,2013-04-21
294281,2013-04-27
294281,2013-06-05
294281,2013-06-10
294281,2013-06-18
294281,2013-06-22
294281,2013-06-27
294281,2013-06-30
294281,2013-07-05
294281,2013-07-07
294281,2013-07-21
294281,2013-07-29
294281,2013-08-02
294281,2013-08-20
294281,2013-08-29
294281,2013-09-03
294281,2013-09-07
294281,2013-09-19
294281,2013-09-27
294281,2013-10-01
294281,2013-10-11
294281,2013-10-19
294281,2013-10-30
294281,2013-11-07
294281,2013-11-26
294281,2013-12-04
294281,2013-12-07
294281,2013-12-18
294281,2013-12-31
294281,2014-01-22
294281,2014-02-28
294281,2014-04-09
